analysis_id,distribution,distributed_field,analysis_name,stratum_1_name,stratum_2_name,stratum_3_name,stratum_4_name,stratum_5_name,is_default,category
0,-1,,Source name,,,,,,1,General
1,0,,Number of persons,,,,,,1,Person
2,0,,Number of persons by gender,gender_concept_id,,,,,1,Person
3,0,,Number of persons by year of birth,year_of_birth,,,,,1,Person
4,0,,Number of persons by race,race_concept_id,,,,,1,Person
5,0,,Number of persons by ethnicity,ethnicity_concept_id,,,,,1,Person
7,0,,Number of persons with invalid provider_id,,,,,,0,Person
8,0,,Number of persons with invalid location_id,,,,,,0,Person
9,0,,Number of persons with invalid care_site_id,,,,,,0,Person
10,0,,Number of all persons by year of birth by gender,year_of_birth,gender_concept_id,,,,1,Person
11,0,,Number of non-deceased persons by year of birth by gender,year_of_birth,gender_concept_id,,,,1,Person
12,0,,Number of persons by race and ethnicity,race_concept_id,ethnicity_concept_id,,,,1,Person
101,0,,"Number of persons by age, with age at first observation period",age,,,,,1,Person
102,0,,"Number of persons by gender by age, with age at first observation period",gender_concept_id,age,,,,1,Person
103,1,,Distribution of age at first observation period,,,,,,1,Observation Period
104,1,,Distribution of age at first observation period by gender,gender_concept_id,,,,,1,Observation Period
105,1,,Length of observation (days) of first observation period,,,,,,1,Observation Period
106,1,,Length of observation (days) of first observation period by gender,gender_concept_id,,,,,1,Observation Period
107,1,,Length of observation (days) of first observation period by age decile,age decile,,,,,1,Observation Period
108,0,,"Number of persons by length of observation period, in 30d increments",Observation period length 30d increments,,,,,1,Observation Period
109,0,,Number of persons with continuous observation in each year,calendar year,,,,,1,Observation Period
110,0,,Number of persons with continuous observation in each month,calendar month,,,,,1,Observation Period
111,0,,Number of persons by observation period start month,calendar month,,,,,1,Observation Period
112,0,,Number of persons by observation period end month,calendar month,,,,,1,Observation Period
113,0,,Number of persons by number of observation periods,number of observation periods,,,,,1,Observation Period
114,0,,Number of persons with observation period before year-of-birth,,,,,,0,Observation Period
115,0,,Number of persons with observation period end < observation period start,,,,,,0,Observation Period
116,0,,Number of persons with at least one day of observation in each year by gender and age decile,calendar year,gender_concept_id,age decile,,,1,Observation Period
117,0,,Number of persons with at least one day of observation in each month,calendar month,,,,,1,Observation Period
118,0,,Number of observation periods with invalid person_id,,,,,,0,Observation Period
119,0,,Number of observation period records by period_type_concept_id,period_type_concept_id,,,,,1,Observation Period
200,0,,"Number of persons with at least one visit occurrence, by visit_concept_id",visit_concept_id,,,,,1,Visit Occurrence
201,0,,"Number of visit occurrence records, by visit_concept_id",visit_concept_id,,,,,1,Visit Occurrence
202,0,,"Number of persons by visit occurrence start month, by visit_concept_id",visit_concept_id,calendar month,,,,1,Visit Occurrence
203,1,,Number of distinct visit occurrence concepts per person,,,,,,1,Visit Occurrence
204,0,,"Number of persons with at least one visit occurrence, by visit_concept_id by calendar year by gender by age decile",visit_concept_id,calendar year,gender_concept_id,age decile,,1,Visit Occurrence
206,1,,Distribution of age by visit_concept_id,visit_concept_id,gender_concept_id,,,,1,Visit Occurrence
207,0,,Number of visit records with invalid person_id,,,,,,1,Visit Occurrence
209,0,,Number of visit records with invalid care_site_id,,,,,,1,Visit Occurrence
210,0,,Number of visit_occurrence records outside a valid observation period,,,,,,1,Observation Period
211,0,,Number of visit records with end date < start date,,,,,,0,Visit Occurrence
212,0,,"Number of persons with at least one visit occurrence, by calendar year by gender by age decile",calendar year,gender_concept_id,age decile,,,1,Visit Occurrence
213,1,,Distribution of length of stay by visit_concept_id,visit_concept_id,,,,,1,Visit Occurrence
220,0,,Number of visit occurrence records by visit occurrence start month,calendar month,,,,,1,Visit Occurrence
221,0,,Number of persons by visit start year,calendar year,,,,,1,Visit Occurrence
225,0,,Number of visit_occurrence records by visit_source_concept_id,visit_source_concept_id,,,,,1,Visit Occurrence
226,0,,Number of records by domain by visit_concept_id,visit_source_concept_id,cdm_table_name,,,,1,Visit Occurrence
230,0,,Number of visit_occurrence records inside valid observation period,,,,,,0,Observation Period
231,0,,Proportion of people with at least one visit_occurrence record outside a valid observation period,Proportion,Number of people with a visit_occurrence record outside a valid observation period,Number of people in visit_occurrence,,,0,Observation Period
232,0,,Proportion of visit_occurrence records outside a valid observation period,Proportion,Number of visit_occurrence records outside a valid observation period,Number of visit_occurrence records,,,0,Observation Period
300,0,,Number of providers,,,,,,1,Provider
301,0,,Number of providers by specialty concept_id,specialty_concept_id,,,,,1,Provider
303,0,,Number of providers records by specialty_concept_id and visit_concept_id,specialty_concept_id,visit_concept_id,,,,1,Provider
325,0,,Number of provider records by specialty_source_concept_id,specialty_source_concept_id,,,,,1,Provider
400,0,,"Number of persons with at least one condition occurrence, by condition_concept_id",condition_concept_id,,,,,1,Condition Occurrence
401,0,,"Number of condition occurrence records, by condition_concept_id",condition_concept_id,,,,,1,Condition Occurrence
402,0,,"Number of persons by condition occurrence start month, by condition_concept_id",condition_concept_id,calendar month,,,,1,Condition Occurrence
403,1,,Number of distinct condition occurrence concepts per person,,,,,,1,Condition Occurrence
404,0,,"Number of persons with at least one condition occurrence, by condition_concept_id by calendar year by gender by age decile",condition_concept_id,calendar year,gender_concept_id,age decile,,1,Condition Occurrence
405,0,,"Number of condition occurrence records, by condition_concept_id by condition_type_concept_id",condition_concept_id,condition_type_concept_id,,,,1,Condition Occurrence
406,1,,Distribution of age by condition_concept_id,condition_concept_id,gender_concept_id,,,,1,Condition Occurrence
409,0,,Number of condition occurrence records with invalid person_id,,,,,,0,Condition Occurrence
410,0,,Number of condition occurrence records outside valid observation period,,,,,,0,Observation Period
411,0,,Number of condition occurrence records with end date < start date,,,,,,0,Condition Occurrence
412,0,,Number of condition occurrence records with invalid provider_id,,,,,,0,Condition Occurrence
413,0,,Number of condition occurrence records with invalid visit_id,,,,,,0,Condition Occurrence
414,0,,"Number of condition occurrence records, by condition_status_concept_id",condition_status_concept_id,,,,,1,Condition Occurrence
415,0,,"Number of condition occurrence records, by condition_type_concept_id",condition_type_concept_id,,,,,1,Condition Occurrence
416,0,,"Number of condition occurrence records, by condition_status_concept_id, condition_type_concept_id",condition_status_concept_id,condition_type_concept_id,,,,1,Condition Occurrence
420,0,,Number of condition occurrence records by condition occurrence start month,calendar month,,,,,1,Condition Occurrence
425,0,,Number of condition_occurrence records by condition_source_concept_id,condition_source_concept_id,,,,,1,Condition Occurrence
424,0,,Number of distinct people with co-occurring condition_occurrence condition_concept_id pairs,condition_concept_id,condition_concept_id,ranking,num_people,num_cases,0,Condition Occurrence
430,0,,Number of condition_occurrence records inside a valid observation period,,,,,,0,Observation Period
431,0,,Proportion of people with at least one condition_occurrence record outside a valid observation period,Proportion,Number of people with a condition_occurrence record outside a valid observation period,Number of people in condition_occurrence,,,0,Observation Period
432,0,,Proportion of condition_occurrence records outside a valid observation period,Proportion,Number of condition_occurrence records outside a valid observation period,Number of condition_occurrence records,,,0,Observation Period
500,0,,"Number of persons with death, by cause_concept_id",cause_concept_id,,,,,1,Death
501,0,,"Number of records of death, by cause_concept_id",cause_concept_id,,,,,1,Death
502,0,,Number of persons by death month,calendar month,,,,,1,Death
504,0,,"Number of persons with a death, by calendar year by gender by age decile",calendar year,gender_concept_id,age decile,,,1,Death
505,0,,"Number of death records, by death_type_concept_id",death_type_concept_id,,,,,1,Death
506,1,,Distribution of age at death by gender,gender_concept_id,,,,,1,Death
509,0,,Number of death records with invalid person_id,,,,,,0,Death
510,0,,Number of death records outside valid observation period,,,,,,0,Observation Period
511,1,,Distribution of time from death to last condition,,,,,,1,Death
512,1,,Distribution of time from death to last drug,,,,,,1,Death
513,1,,Distribution of time from death to last visit,,,,,,1,Death
